Assembly	pacbio_10x	pacbio_20x	pacbio_40x	pacbio_80x	illumina	illumina_pacbio_10x	illumina_pacbio_20x	illumina_pacbio_40x	illumina_pacbio_80x
# contigs (>= 0 bp)	188	27	2	1	156	20	20	17	17
# contigs (>= 1000 bp)	188	27	2	1	77	1	2	1	1
# contigs (>= 5000 bp)	164	27	2	1	54	1	1	1	1
# contigs (>= 10000 bp)	127	27	1	1	50	1	1	1	1
# contigs (>= 25000 bp)	48	26	1	1	43	1	1	1	1
# contigs (>= 50000 bp)	13	22	1	1	30	1	1	1	1
Total length (>= 0 bp)	3711522	4599531	4660281	4653172	4568145	4644141	4642746	4644499	4644499
Total length (>= 1000 bp)	3711522	4599531	4660281	4653172	4549457	4640301	4639608	4641733	4641733
Total length (>= 5000 bp)	3626288	4599531	4660281	4653172	4497628	4640301	4636213	4641733	4641733
Total length (>= 10000 bp)	3347194	4599531	4651851	4653172	4468021	4640301	4636213	4641733	4641733
Total length (>= 25000 bp)	2079447	4584084	4651851	4653172	4365494	4640301	4636213	4641733	4641733
Total length (>= 50000 bp)	876571	4436814	4651851	4653172	3922327	4640301	4636213	4641733	4641733
# contigs	188	27	2	1	87	3	3	2	2
Largest contig	87550	751505	4651851	4653172	285426	4640301	4636213	4641733	4641733
Total length	3711522	4599531	4660281	4653172	4556248	4641646	4640150	4642275	4642275
Reference length	4639675	4639675	4639675	4639675	4639675	4639675	4639675	4639675	4639675
GC (%)	50.55	50.75	50.77	50.79	50.74	50.78	50.78	50.79	50.79
Reference GC (%)	50.79	50.79	50.79	50.79	50.79	50.79	50.79	50.79	50.79
N50	27922	272518	4651851	4653172	134691	4640301	4636213	4641733	4641733
NG50	20713	272518	4651851	4653172	134691	4640301	4636213	4641733	4641733
N75	16500	120357	4651851	4653172	78605	4640301	4636213	4641733	4641733
NG75	8087	120357	4651851	4653172	67330	4640301	4636213	4641733	4641733
L50	40	5	1	1	12	1	1	1	1
LG50	59	5	1	1	12	1	1	1	1
L75	84	13	1	1	22	1	1	1	1
LG75	142	13	1	1	23	1	1	1	1
# misassemblies	9	9	8	8	0	6	6	6	6
# misassembled contigs	5	4	1	1	0	1	1	1	1
Misassembled contigs length	125937	1108020	4651851	4653172	0	4640301	4636213	4641733	4641733
# local misassemblies	1	2	2	2	6	6	5	5	5
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	6	4	1	1	1
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	1 + 0 part	1 + 0 part	1 + 0 part	1 + 0 part	1 + 0 part
Unaligned length	0	0	0	0	542	542	542	542	542
Genome fraction (%)	79.785	98.967	99.998	99.998	98.110	99.904	99.916	99.962	99.962
Duplication ratio	1.003	1.002	1.004	1.003	1.001	1.001	1.001	1.001	1.001
# N's per 100 kbp	0.00	0.00	0.00	0.00	21.95	63.94	21.25	21.24	21.24
# mismatches per 100 kbp	31.71	4.33	1.12	0.32	1.08	10.20	9.15	9.62	9.66
# indels per 100 kbp	548.58	140.51	29.38	9.85	0.40	1.40	0.73	0.88	0.88
Largest alignment	87550	484372	2161944	2981897	285326	3023180	3023576	3023577	3023577
Total aligned length	3711381	4599517	4659840	4653170	4552795	4637945	4635836	4637961	4637961
NA50	26796	200681	948576	2981897	134691	3023180	3023576	3023577	3023577
NGA50	20241	200681	948576	2981897	134691	3023180	3023576	3023577	3023577
NA75	15933	107489	874273	949202	78605	572345	572345	572345	572345
NGA75	7871	107489	874273	949202	67330	572345	572345	572345	572345
LA50	41	7	2	1	12	1	1	1	1
LGA50	60	7	2	1	12	1	1	1	1
LA75	86	15	3	2	22	2	2	2	2
LGA75	146	15	3	2	23	2	2	2	2
